"Given Name","Family Name","Keywords","ResearcherID","Role Title","Start Date","Organization","Number of Works","ORCID ID"
"Fabio","Mercorio","Nessuna","E-4369-2013","Associate Professor","2021","Università degli Studi di Milano-Bicocca",85,"0000-0001-6864-2702"
"Pietro Giorgio","Lovaglio","Data Mining, Statistical learning, Businness Intelligence, Latent variable analysis, SAS, R, Python","J-8839-2016","Full professor Economic Statistics","2006","University of Milano-Bicocca",80,"0000-0002-2340-0547"
"Andrea","Maurino","Nessuna","N/A","Associate professor","2015","Università degli Studi di Milano-Bicocca",1,"0000-0001-9803-3668"
