Doi,Title,Year,Type,Url,Authors,Topic,Subfield,Field,Domain,Cites,Cited_by,Keywords,Abstract
10.1007/s41965-019-00011-4,Characterizing PSPACE with shallow non-confluent P systems,2019,journal-article,https://doi.org/10.1007/s41965-019-00011-4,"0000-0002-8105-4371, 0000-0001-6312-7728, 0000-0003-3520-4022, 0000-0003-1544-028X, 0000-0002-2163-7639",DNA-based Computing and Data Storage,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,19,3,"['Confluence', 'Nesting (process)', 'Membrane Computing', 'Spiking Neural P Systems']"
10.1287/trsc.2022.0309,Data-Driven Optimization for Air Traffic Flow Management with Trajectory Preferences,2024,journal-article,https://doi.org/10.1287/trsc.2022.0309,"0000-0001-5600-0331, 0000-0002-8035-0013, 0000-0002-1239-0662",Air Traffic Management and Conflict Resolution,Aerospace Engineering,Engineering,Physical Sciences,15,1,"['Traffic Flow Management', 'Air Traffic Management', 'Trajectory optimization', 'Airport Efficiency', 'Trajectory Prediction', 'Aircraft Scheduling']"
10.1287/trsc.2020.1001,Introduction to the Special Section: Air Transportation Systems Planning and Operations Under Uncertainty,2020,journal-article,https://doi.org/10.1287/trsc.2020.1001,"0000-0001-5600-0331, 0000-0001-9429-6401",Air Traffic Management and Conflict Resolution,Aerospace Engineering,Engineering,Physical Sciences,6,4,"['Section (typography)', 'Aircraft Scheduling', 'Special section', 'Airport Operations', 'Transportation planning']"
10.1016/j.ejor.2019.06.056,Predictive modeling of inbound demand at major European airports with Poisson and Pre-Scheduled Random Arrivals,2019,journal-article,https://doi.org/10.1016/j.ejor.2019.06.056,"0000-0001-5600-0331, 0000-0002-1239-0662",Economic Impacts of Air Transportation Systems,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,29,9,"['Airport Efficiency', 'Aircraft Scheduling', 'Airport Competition', 'Traffic model']"
10.1016/j.ejor.2019.01.039,Planning efficient 4D trajectories in Air Traffic Flow Management.,2019,journal-article,https://doi.org/10.1016/j.ejor.2019.01.039,"0000-0001-5600-0331, 0000-0001-9897-8768, 0000-0003-3580-1281, 0000-0003-3677-7850",Air Traffic Management and Conflict Resolution,Aerospace Engineering,Engineering,Physical Sciences,22,31,"['Traffic Flow Management', 'Airport Efficiency', 'Aircraft Scheduling', 'Traffic Flow', 'Air Traffic Management']"
10.3390/a17020072,An Attention-Based Method for the Minimum Vertex Cover Problem on Complex Networks,2024,journal-article,https://doi.org/10.3390/a17020072,"0000-0002-6406-536X, 0000-0003-0326-8742, 0000-0002-6124-2965, 0000-0001-7312-7123",Design and Optimization of Field-Programmable Gate Arrays and Application-Specific Integrated Circuits,Electrical and Electronic Engineering,Engineering,Physical Sciences,35,0,"['Vertex cover', 'Approximation Algorithms', 'Combinatorial Optimization', 'Graph Matching', 'Edge cover', 'Communication Complexity', 'Graph Partitioning']"
10.1109/ACCESS.2024.3435537,Fine-Tuning of Distil-BERT for Continual Learning in Text Classification: An Experimental Analysis,2024,journal-article,https://doi.org/10.1109/ACCESS.2024.3435537,"0000-0002-6406-536X, 0009-0001-5588-8823, 0000-0002-9861-4013, 0000-0002-6158-4148, 0000-0003-1839-9366",Advances in Transfer Learning and Domain Adaptation,Artificial Intelligence,Computer Science,Physical Sciences,29,0,"['Transfer Learning', 'Meta-Learning', 'Representation Learning', 'Attention Mechanism', 'Few-Shot Learning', 'Feature learning', 'F1 score']"
10.1007/978-3-031-62753-8_7,vEEGNet: Learning Latent Representations to Reconstruct EEG Raw Data via Variational Autoencoders,2024,book-chapter,https://doi.org/10.1007/978-3-031-62753-8_7,"0000-0002-6406-536X, 0000-0002-5276-7030, 0000-0002-9554-9367, 0000-0001-7312-7123",Brain-Computer Interfaces in Neuroscience and Medicine,Cognitive Neuroscience,Neuroscience,Life Sciences,40,0,"['Deep Learning for EEG', 'EEG Analysis', 'Emotion Recognition', 'Deep Learning', 'Affective Computing']"
10.1007/978-3-030-77091-4_5,Explainable Attentional Neural Recommendations for Personalized Social Learning,2021,book-chapter,https://doi.org/10.1007/978-3-030-77091-4_5,"0000-0002-6406-536X, 0000-0002-0236-6159, 0000-0002-1957-2530, 0000-0001-7312-7123, 0000-0003-3520-4022, 0000-0003-1839-9366",Explainable Artificial Intelligence,Artificial Intelligence,Computer Science,Physical Sciences,40,3,"['Interpretability', 'XAI Concepts', 'Machine Learning Interpretability', 'Interpretable Models', 'Responsibility in AI', 'Model Interpretability']"
10.1145/3652620.3687796,Waste Management Through Digital Twins and Business Process Modeling,2024,conference-paper,https://doi.org/10.1145/3652620.3687796,"0000-0003-1261-2234, 0000-0002-0163-9784, 0000-0003-4376-1697, 0000-0001-6552-2609, 0000-0001-9527-7042, 0000-0002-5193-6218, 0000-0003-0273-7324",Industry 4.0 and Digital Transformation in Manufacturing,Industrial and Manufacturing Engineering,Engineering,Physical Sciences,7,0,"['Digital Twin', 'Process Planning', 'Lean Production', 'Smart Manufacturing', 'Virtual Prototyping', 'Process modeling']"
