Institution;openalex_id;country;type;homepage_url;works_count;cited_by_count;corrected_university_name
University of Turin;https://openalex.org/I55143463;IT;education;https://www.unito.it;112781.0;3140856.0;University of Turin
University of Modena and Reggio Emilia;https://openalex.org/I122346577;IT;education;http://www.unimore.it/;51757.0;1563156.0;University of Modena and Reggio Emilia
Universitetet i Oslo;https://openalex.org/I184942183;NO;education;http://www.uio.no/english/;150976.0;5018565.0;University of Oslo
lastminute.com;;;;;;;lastminute.com
IRCCS Istituto Auxologico Italiano;https://openalex.org/I4210134201;IT;healthcare;https://www.auxologico.it/;11621.0;400275.0;IRCCS Istituto Auxologico Italiano
The Wistar Institute;https://openalex.org/I102322052;US;facility;https://www.wistar.org;9625.0;660306.0;The Wistar Institute
Enrico Fermi Center for Study and Research;https://openalex.org/I4210108754;IT;archive;http://www.centrofermi.it/;2632.0;92915.0;Enrico Fermi Center for Study and Research
Sapienza University of Rome;https://openalex.org/I861853513;IT;education;https://www.uniroma1.it;210242.0;5146387.0;Sapienza University of Rome
University of Toronto;https://openalex.org/I185261750;CA;education;https://www.utoronto.ca;483816.0;19067173.0;University of Toronto
University of Florence;https://openalex.org/I45084792;IT;education;https://www.unifi.it;117496.0;3100387.0;University of Florence
Gran Sasso Science Institute;https://openalex.org/I4210150763;IT;education;https://www.gssi.it;3712.0;162083.0;Gran Sasso Science Institute
University of Alcalá;;;;;;;University of Alcalá
Oslo University Hospital;https://openalex.org/I1281400175;NO;healthcare;http://www.oslo-universitetssykehus.no/om-oss/english;49928.0;1877207.0;Oslo University Hospital
Cleveland Clinic;https://openalex.org/I1316902750;US;healthcare;http://my.clevelandclinic.org/;126244.0;4511578.0;Cleveland Clinic
Politecnico di TORINO;;;;;;;Politecnico di Torino
Università Cattolica del Sacro Cuore;https://openalex.org/I103320735;IT;education;https://www.unicatt.eu;64039.0;1674800.0;Università Cattolica del Sacro Cuore
Ludwig-Maximilians-Universität München;https://openalex.org/I8204097;DE;education;https://www.lmu.de;201174.0;6559067.0;Ludwig-Maximilians-Universität München
University of Milan;https://openalex.org/I189158943;IT;education;https://www.unimi.it;185836.0;5498353.0;University of Milan
Technische Universität Wien;;;;;;;TU Wien
Laboratoire d’Informatique et Systèmes;https://openalex.org/I4210114274;FR;facility;https://www.lis-lab.fr;8738.0;46547.0;Laboratoire d’Informatique et Systèmes
Institute of Cancer Research;https://openalex.org/I142947616;GB;education;http://www.icr.ac.uk/;23781.0;1392045.0;Institute of Cancer Research
University of Natural Resources and Life Sciences;;;;;;;University of Natural Resources and Life Sciences
Izmir Institute of Technology;https://openalex.org/I120217413;TR;education;https://iyte.edu.tr;6663.0;114014.0;Izmir Institute of Technology
Huazhong University of Science and Technology;https://openalex.org/I47720641;CN;education;http://english.hust.edu.cn/;212947.0;4064140.0;Huazhong University of Science and Technology
Bocconi University;https://openalex.org/I71209653;IT;education;https://www.unibocconi.it;17275.0;499549.0;Bocconi University
University of Belgrade, Faculty of Mathematics;https://openalex.org/I4068193;RS;education;http://www.bg.ac.rs/en/;89082.0;1409853.0;University of Belgrade
Khalifa University College of Engineering;https://openalex.org/I176601375;AE;education;https://www.ku.ac.ae/;17310.0;275334.0;Khalifa University
Grenoble Ecole de Management;https://openalex.org/I68666633;FR;education;http://en.grenoble-em.com/;2836.0;43269.0;Grenoble Ecole de Management
Tampere University;https://openalex.org/I166825849;FI;education;https://www.tuni.fi/en;69523.0;1884048.0;Tampere University
EPFL - École Polytechnique Fédérale de Lausanne;https://openalex.org/I5124864;CH;education;http://www.epfl.ch;142039.0;5994414.0;École Polytechnique Fédérale de Lausanne
Centre Nacional d'Anàlisi Genòmica;;;;;;;National Center for Genomic Analysis
Ospedale San Raffaele;https://openalex.org/I4210133214;IT;healthcare;http://www.hsr.it/;15993.0;479595.0;Ospedale San Raffaele
Luxembourg Institute of Health;https://openalex.org/I4210101141;LU;nonprofit;http://www.lih.lu/;3132.0;82718.0;Luxembourg Institute of Health
Imperial College London;https://openalex.org/I47508984;GB;education;https://www.imperial.ac.uk;295372.0;12020557.0;Imperial College London
Microsoft Research;https://openalex.org/I4210164937;GB;company;http://research.microsoft.com/en-us/labs/cambridge/default.aspx;14686.0;881823.0;Microsoft Research
Istituto di Ricerche Farmacologiche Mario Negri Centro Aldo e Cele Daccò;https://openalex.org/I19630809;IT;nonprofit;http://www.marionegri.it/en_US/home;18407.0;1189077.0;Mario Negri Institute for Pharmacological Research
University College Hospital London;https://openalex.org/I45129253;GB;education;http://www.ucl.ac.uk/;468556.0;18477812.0;University College London
Universidade NOVA de Lisboa;https://openalex.org/I83558840;PT;education;http://www.unl.pt/en/;50378.0;1067359.0;Universidade NOVA de Lisboa
The Open University;https://openalex.org/I204136569;GB;education;https://www.open.ac.uk;40803.0;1161890.0;The Open University
SDU;https://openalex.org/I177969490;DK;education;https://www.sdu.dk;65230.0;2003176.0;Southern Denmark University
Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico;https://openalex.org/I2803066834;IT;healthcare;http://www.policlinico.mi.it/;35077.0;912836.0;Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico
Open University of Catalonia;;;;;;;Open University of Catalonia
Chitkara University Institute of Engineering and Technology, Chitkara University;https://openalex.org/I74319210;IN;education;http://www.chitkara.edu.in/;11992.0;83965.0;Chitkara University
