openalex_id,Organization,country,type,homepage_url,works_count,cited_by_count
https://openalex.org/I165230279,['Universitas Gadjah Mada'],ID,education,https://ugm.ac.id,57712.0,290274.0
https://openalex.org/I165932596,['National University of Singapore'],SG,education,http://www.nus.edu.sg/,229726.0,7781521.0
https://openalex.org/I16609230,"['Associate Professor in Hunan University (湖南大学)', 'Hunan University']",CN,education,https://www.hnu.edu.cn,77898.0,1738379.0
https://openalex.org/I166825849,['Tampere University'],FI,education,https://www.tuni.fi/en,69660.0,1891126.0
https://openalex.org/I167027274,['Nanjing Forestry University'],CN,education,https://www.njfu.edu.cn/,33667.0,512222.0
https://openalex.org/I16733864,['National Taiwan University'],TW,education,http://www.ntu.edu.tw/english/,148170.0,3780221.0
https://openalex.org/I16835326,['University of St Andrews'],GB,education,http://www.st-andrews.ac.uk/,64152.0,2080089.0
https://openalex.org/I169381384,['University of Groningen'],NL,education,http://www.rug.nl/,148120.0,5718058.0
https://openalex.org/I170201317,['University of Pittsburgh'],US,education,http://www.pitt.edu/,266568.0,11181148.0
https://openalex.org/I170239107,['University of South Australia'],AU,education,https://www.unisa.edu.au/,48808.0,1408713.0
https://openalex.org/I170897317,['Duke University'],US,education,https://duke.edu,224287.0,9944166.0
https://openalex.org/I171241948,['Moscow Power Engineering Institute'],RU,education,https://mpei.ru,15516.0,67596.0
https://openalex.org/I17145004,['Northwestern Polytechnical University'],CN,education,https://www.nwpu.edu.cn,110352.0,1505195.0
https://openalex.org/I171543936,['Free University of Bozen-Bolzano'],IT,education,https://www.unibz.it,11201.0,220087.0
https://openalex.org/I171892758,['Forschungszentrum Jülich'],DE,facility,https://www.fz-juelich.de,64072.0,2086559.0
https://openalex.org/I172446870,"['Università degli Studi di Cagliari', 'University of Cagliari']",IT,education,http://www.unica.it/,43937.0,1049477.0
https://openalex.org/I172675005,"['Nanyang Technological University', 'Nanyang technological university']",SG,education,http://www.ntu.edu.sg/Pages/home.aspx,161048.0,5149413.0
https://openalex.org/I172787465,['Departamento de Ingeniería Industrial UCSC'],CL,education,https://www.udec.cl/pexterno/,31360.0,585091.0
https://openalex.org/I172980758,['Kennesaw State University'],US,education,https://www.kennesaw.edu/,12334.0,218412.0
https://openalex.org/I173029219,['Multimedia University'],MY,education,https://www.mmu.edu.my/,12709.0,160275.0
https://openalex.org/I173212132,['Vilnius University'],LT,education,https://vu.lt,32428.0,534723.0
https://openalex.org/I173304897,['Universidad de Granada'],ES,education,https://www.ugr.es,95508.0,2103980.0
https://openalex.org/I173888879,['SINTEF'],NO,facility,https://www.sintef.no,22653.0,527957.0
https://openalex.org/I17626003,['University of Rhode Island'],US,education,https://www.uri.edu,36545.0,1153971.0
https://openalex.org/I177725633,['Chinese University of Hong Kong'],CN,education,http://www.cuhk.edu.hk/english/index.html,147286.0,4755530.0
https://openalex.org/I177739611,['Yangtze University'],CN,education,http://www.yangtzeu.edu.cn/,22281.0,183440.0
https://openalex.org/I179097149,"['Université de Carthage', 'University of Carthage']",TN,education,http://www.ucar.rnu.tn/,12887.0,147583.0
https://openalex.org/I17974374,['Universidade de São Paulo'],BR,education,https://www5.usp.br,398852.0,6959044.0
https://openalex.org/I179863766,['Western Norway University of Applied Sciences'],NO,education,https://www.hvl.no/,6712.0,87276.0
https://openalex.org/I18014758,['ProfSimon Fraser University'],CA,education,https://www.sfu.ca,75421.0,2407548.0
https://openalex.org/I180726961,['Shenzhen University'],CN,education,https://www.szu.edu.cn,65855.0,1244086.0
https://openalex.org/I181343428,"['University of Zagreb Faculty of Electrical Engineering and Computing', 'University of Zagreb, Faculty of Electrical Engineering and Computing', 'University of Zagreb']",HR,education,http://www.unizg.hr/,89477.0,1147132.0
https://openalex.org/I181547552,['Baylor College of Medicine'],US,education,https://www.bcm.edu/,146633.0,6532202.0
https://openalex.org/I181565077,['Georgia State University'],US,education,https://www.gsu.edu,57354.0,1631050.0
https://openalex.org/I181877577,['Shanxi University'],CN,education,https://www.sxu.edu.cn,29817.0,417442.0
https://openalex.org/I181903023,"[""Xi'an Shiyou University""]",CN,education,http://xsyu.ciss.org.cn/,10722.0,61908.0
https://openalex.org/I182083151,['Universidad Rey Juan Carlos'],ES,education,https://www.urjc.es/,27578.0,470517.0
https://openalex.org/I183067930,['Shanghai Jiao Tong University'],CN,education,https://www.sjtu.edu.cn,291651.0,5617823.0
https://openalex.org/I183934855,['Genentech'],,company,https://www.gene.com,2316.0,349254.0
https://openalex.org/I183935753,"[""King's College London"", 'King’s College London']",GB,education,http://www.kcl.ac.uk/index.aspx,203099.0,7066286.0
https://openalex.org/I184531372,['Oslo Metropolitan University'],NO,education,https://www.oslomet.no,11474.0,186279.0
https://openalex.org/I184746854,"['Lincoln University,New Zealand']",NZ,education,https://www.lincoln.ac.nz,10626.0,339436.0
https://openalex.org/I184834183,['Al-Azhar University'],EG,education,http://www.azhar.edu.eg,36267.0,407750.0
https://openalex.org/I184942183,"['University of Oslo', 'University of Oslo, Norway']",NO,education,http://www.uio.no/english/,151651.0,5069890.0
https://openalex.org/I185071736,['Chapman University'],US,education,https://www.chapman.edu/,10729.0,179071.0
https://openalex.org/I185261750,['University of Toronto'],CA,education,https://www.utoronto.ca,484480.0,19130738.0
https://openalex.org/I187293425,['University of Ostrava'],CZ,education,https://www.osu.cz,7777.0,98896.0
https://openalex.org/I188529364,['Russian-ArmenianUniversity'],AM,education,http://www.rau.am,1409.0,7426.0
https://openalex.org/I188538660,"['University of Colorado Boulder', 'University of Colorado']",US,education,http://www.colorado.edu/,142100.0,6424268.0
https://openalex.org/I188760350,['University of Galway'],IE,education,https://www.universityofgalway.ie,39774.0,1046754.0
https://openalex.org/I189158943,"['Università degli Studi di Milano', 'University of Milan']",IT,education,https://www.unimi.it,186090.0,5514599.0
https://openalex.org/I189210763,['Yunnan University'],CN,education,https://www.ynu.edu.cn,36478.0,419321.0
https://openalex.org/I190082696,['Durham University'],GB,education,https://www.dur.ac.uk/,91249.0,2869376.0
https://openalex.org/I192756129,['University of Macedonia'],GR,education,https://www.uom.gr,7335.0,111583.0
https://openalex.org/I193181351,['Universidad de Guadalajara'],MX,education,https://www.udg.mx,34886.0,281619.0
https://openalex.org/I193775966,['Yonsei University'],KR,education,https://www.yonsei.ac.kr,153652.0,3342635.0
https://openalex.org/I194019607,['University of Ioannina'],GR,education,https://uoi.gr,31539.0,951858.0
https://openalex.org/I196699116,['Wuhan University of Technology'],CN,education,https://www.whut.edu.cn,74977.0,1192277.0
https://openalex.org/I197347611,['Korea University'],KR,education,https://www.korea.ac.kr,99342.0,2538599.0
https://openalex.org/I197681013,['Université Paris-Est Créteil'],FR,education,https://www.u-pec.fr,33065.0,724112.0
https://openalex.org/I19820366,['Chinese Academy of Sciences'],CN,government,http://english.cas.cn/,825986.0,22692033.0
https://openalex.org/I198645480,['North China University of Water Resources and Electric Power'],CN,education,https://www.ncwu.edu.cn,10852.0,73549.0
https://openalex.org/I200769079,"['Hong Kong University of Science and Technology', 'Hong Kong University']",HK,education,https://hkust.edu.hk,77184.0,2776246.0
https://openalex.org/I20089843,['普林斯顿大学物理学教授'],US,education,https://www.princeton.edu,186234.0,10315334.0
https://openalex.org/I20121455,['Bielefeld University'],DE,education,https://www.uni-bielefeld.de,52012.0,1226743.0
https://openalex.org/I201448701,['University of Washington'],US,education,https://www.washington.edu,463836.0,21410723.0
https://openalex.org/I20231570,['Peking University'],CN,education,https://www.pku.edu.cn,292446.0,6690963.0
https://openalex.org/I203765153,['Akita University'],JP,education,http://www.akita-u.ac.jp/eng/,19749.0,299485.0
https://openalex.org/I203951103,['Keio University'],JP,education,https://www.keio.ac.jp,105395.0,2043732.0
https://openalex.org/I204308271,['Medical College of Wisconsin'],US,education,https://www.mcw.edu,69587.0,2368462.0
https://openalex.org/I204512498,['University of Macau'],MO,education,http://www.umac.mo/,33575.0,722542.0
https://openalex.org/I204778367,"['Norwegian University of Science and Technology', 'Norwegian University of Science and Technology ']",NO,education,http://www.ntnu.edu,97496.0,2738154.0
https://openalex.org/I204983213,['Harbin Institute of Technology'],CN,education,https://www.hit.edu.cn,181330.0,3046786.0
https://openalex.org/I205237279,['Nankai University'],CN,education,https://nankai.edu.cn,87888.0,2009896.0
https://openalex.org/I205274468,['Trinity College Dublin'],IE,education,https://www.tcd.ie/,77512.0,2547168.0
https://openalex.org/I205401836,['National Institute for Materials Science'],JP,facility,http://www.nims.go.jp/eng/,48397.0,1528583.0
https://openalex.org/I205640436,['Curtin University'],AU,education,https://www.curtin.edu.au,73513.0,2071242.0
https://openalex.org/I205783295,['Cornell University'],US,education,https://www.cornell.edu,403231.0,17881198.0
