"Given Name","Family Name","Department Code","Specific Field","Role","ORCID ID","Organization","Status","Role Title","Start Date","Keywords","ResearcherID","Number of Works","H Index","Citations"
"MAURO","PEZZÈ","(IINF-05/A)","Information Processing Systems","Full Professor","0000-0001-5193-7379","Università della Svizzera italiana Facoltà di scienze informatiche","TO CHECK","Professor",2007.0,"Software Engineering, Software Testing, Program Analysis, Self-Healing Systems, Symbolic Execution","",203.0,49.0,12028.0
"RAIMONDO","SCHETTINI","(INFO-01/A)","Computer Science","Full Professor","0000-0001-7461-1451","","TO CHECK","","","color imaging, artificial vision, artificial intelligence, image understanding","",272.0,52.0,12144.0
"ALESSANDRA","AGOSTINI","(INFO-01/A)","Computer Science","Full Professor","0000-0002-2337-3745","","TO CHECK","","","Ubiquitous Computing, Context-Aware Computing, HCI, Collaborative and Participative Learning, CSCW","",0.0,20.0,1381.0
"DANIELA","BESOZZI","(INFO-01/A)","Computer Science","Associate Professor","0000-0001-5532-3059","","TO CHECK","","","Systems Biology, Mathematical modeling, Evolutionary Computation, GPU computing","",0.0,27.0,2867.0
"SIMONE","BIANCO","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-7070-1545","University of Milano-Bicocca","APPROVED","","","Computer Vision, Image Processing, Machine Learning, Optimization, Deep Learning","",160.0,36.0,5785.0
"PIETRO","BRAIONE","(IINF-05/A)","Information Processing Systems","Associate Professor","0000-0001-9307-6781","University of Milano-Bicocca","APPROVED","Associate professor",2022.0,"Formal methods, software quality, programming languages, statistical learning","P-4323-2014",22.0,13.0,812.0
"FEDERICO","CABITZA","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-4065-3415","","TO CHECK","","","human_ai_interaction, decision_support, human_centered_AI, eXplainable_AI","L-2263-2013",142.0,41.0,6839.0
"MICHELE","CIAVOTTA","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-2480-966X","Universita degli Studi di Milano-Bicocca","APPROVED","Ricercatore a tempo determinato",2017.0,"Cloud Computing, Optimization, Big Data, Graph Neural Networks","",71.0,19.0,1771.0
"GIANLUIGI","CIOCCA","(INFO-01/A)","Computer Science","Associate Professor","0000-0003-2878-2131","University of Milano-Bicocca","APPROVED","Associate Professor",2015.0,"Computer Vision, Image Understanding, Pattern Recognition, Video Analysis, Machine Learning","",92.0,31.0,4588.0
"FLAVIO","DE PAOLI","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-5047-7371","Universita degli Studi di Milano-Bicocca","APPROVED","associate professor",2001.0,"","",111.0,23.0,1573.0
"GIANLUCA","DELLA VEDOVA","(INFO-01/A)","Computer Science","Associate Professor","0000-0001-5584-3089","Universita' di Milano Bicocca","APPROVED","Docenti di ruolo di IIa fascia",2012.0,"Algorithms, Bioinformatics, Computational Biology, Algorithms for Bioinformatics, Data Privacy","",112.0,22.0,2106.0
"GIOVANNI","DENARO","(INFO-01/A)","Computer Science","Associate Professor","0000-0001-7251-1510","","TO CHECK","","","Software Testing - Software Analysis - Software Engineering","",0.0,25.0,1868.0
"ALBERTO","DENNUNZIO","(INFO-01/A)","Computer Science","Associate Professor","0000-0003-1420-404X","","TO CHECK","","","cellular automata","",0.0,22.0,1221.0
"CLAUDIO","FERRETTI","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-5562-7893","","TO CHECK","","","computational models, computer security, open source software","",0.0,15.0,1286.0
"ELISABETTA","FERSINI","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-8987-100X","","TO CHECK","","","Natural Language Processing, Machine Learning","",38.0,29.0,4648.0
"FRANCESCA","GASPARINI","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-6279-6660","Universita degli Studi di Milano-Bicocca","APPROVED","Assistant Professor",2006.0,"multimedia signal processing, affective computing, brain computer interfaces","",71.0,26.0,2647.0
"ALBERTO","LEPORATI","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-8105-4371","Università degli Studi di Milano-Bicocca","APPROVED","Associate Professor",2015.0,"Natural Computing - Unconventional Computing - Membrane Computing - Theoretical Computer Science","",69.0,29.0,2518.0
"GUGLIELMO","LULLI","(MATH-06/A)","Operations Research","Associate Professor","0000-0001-5600-0331","Lancaster University Management School","TO CHECK","Professor",2015.0,"Operations Research, Deterministic and Stochastic Optimization, Transportation and Logistics","",41.0,21.0,2059.0
"SARA LUCIA","MANZONI","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-6406-536X","Università degli Studi di Milano-Bicocca Scuola di Scienze","APPROVED","Assistant professor",2003.0,"Computer Science","",4.0,19.0,1758.0
"DANIELA","MICUCCI","(IINF-05/A)","Information Processing Systems","Associate Professor","0000-0003-1261-2234","","TO CHECK","","","software architecture, self-repair, self-healing, pervasive healthcare, mobile development","",64.0,15.0,2084.0
"PAOLO","NAPOLETANO","(INFO-01/A)","Computer Science","Associate Professor","0000-0001-9112-0574","","TO CHECK","","","Intelligent Sensors, Computer Vision, Pattern Recognition, Deep Learning, Artificial Intelligence","B-2186-2009",97.0,35.0,5704.0
"MATTEO","PALMONARI","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-1801-5118","Università degli Studi di Milano-Bicocca","APPROVED","Associate Professor","","Artificial Intelligence, Semantic Web, Data Integration","",73.0,25.0,2483.0
"NYSSEN","PENALOZA","(INFO-01/A)","Computer Science","Associate Professor","","","TO CHECK","","","","","","",""
"YURI","PIROLA","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-8479-7592","Università degli Studi di Milano-Bicocca","APPROVED","Associate professor",2022.0,"Algorithms, Computer Science, Bioinformatics, Computational Biology","",46.0,16.0,1818.0
"LUCIA","POMELLO","(INFO-01/A)","Computer Science","Associate Professor","0000-0001-5651-915X","","TO CHECK","","","Formal Methods, Concurrency, Petri Nets","",7.0,16.0,1401.0
"CLAUDIA","RAIBULET","(IINF-05/A)","Information Processing Systems","Associate Professor","0000-0002-7194-3159","","TO CHECK","","","Nessuna","",77.0,"",""
"OLIVIERO","RIGANELLI","(IINF-05/A)","Information Processing Systems","Associate Professor","0000-0003-2120-2894","","TO CHECK","","","Software Testing, Software Analysis, Software Engineering","",43.0,15.0,856.0
"RAFFAELLA","RIZZI","(INFO-01/A)","Computer Science","Associate Professor","0000-0001-9730-7516","","TO CHECK","","","bioinformatica, analisi di sequenze biologiche, predizione della struttura genica","",33.0,15.0,730.0
"FABIO","SARTORI","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-5038-9785","University of Milano-Bicocca","APPROVED","Assistant Professo",2008.0,"Artificial Intelligence","",8.0,14.0,660.0
"DOMENICO G.","SORRENTI","(IINF-05/A)","Information Processing Systems","Associate Professor","0000-0002-4734-7330","Università degli Studi di Milano - Bicocca","APPROVED","assoc. prof.",2005.0,"Autonomous Driving, Machine Perception, Robot Vision, Computer Vision, Robotics","",0.0,20.0,1538.0
"FABIO ANTONIO","STELLA","(MATH-06/A)","Operations Research","Associate Professor","0000-0002-1394-0507","","TO CHECK","","","Data Science, Artificial Intelligence, Machine Learning, Bayesian networks, Causal networks","",46.0,21.0,2119.0
"MARCO","VIVIANI","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-2274-9050","Università degli Studi di Milano-Bicocca","APPROVED","Associate Professor",2021.0,"Social Computing, Natural Language Processing, Information Retrieval, Misinformation, Privacy","",61.0,24.0,1829.0
"GIUSEPPE","VIZZARI","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-7916-6438","University of Milano-Bicocca","APPROVED","Associate professor","","Artificial Intelligence, Multi-Agent Systems, pedestrian simulation, crowd simulation","",204.0,34.0,3864.0
"CLAUDIO","ZANDRON","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-2163-7639","","TO CHECK","","","Natural Computing, Membrane Computing, Theoretical Computer Science","",10.0,27.0,4799.0
"ITALO","ZOPPIS","(INFO-01/A)","Computer Science","Associate Professor","0000-0001-7312-7123","","TO CHECK","","","","",40.0,18.0,1080.0
"LUCA","BERNARDINELLO","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-0639-7593","","TO CHECK","","","","",0.0,14.0,1342.0
"MATTEO","DOMINONI","(IINF-05/A)","Information Processing Systems","Researcher","0000-0001-8481-6311","Università degli Studi di Milano-Bicocca","APPROVED","Assistant Professor",2002.0,"","",3.0,8.0,2252.0
"GUIDO","FIORINO","(INFO-01/A)","Computer Science","Researcher","0000-0002-0556-0723","","TO CHECK","","","Computational logic","",27.0,10.0,333.0
"DANIELA","BRIOLA","(INFO-01/A)","Computer Science","Researcher","0000-0003-1994-8929","Università degli Studi di Milano-Bicocca Dipartimento di Informatica Sistemistica e Comunicazione","APPROVED","RTD-B (Assistant Professor)",2022.0,"Multiagent systems, Multi agent systems, Software Engineering, Virtual Reality, Crowd Simulation","",43.0,12.0,445.0
"MARCO","BUZZELLI","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0003-1138-3345","","TO CHECK","","","computer vision, image processing, machine learning","",27.0,15.0,977.0
"LUIGI","CELONA","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0002-6328-5926","Istituto Nazionale di Fisica Nucleare","TO CHECK","Dirigente Tecnologo",1998.0,"Visual quality assessment, Computer vision, Deep learning, Machine learning","",128.0,16.0,2033.0
"DAVIDE","CHICCO","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0001-9655-7142","Universita' di Milano Bicocca","APPROVED","",2023.0,"applied machine learning, bioinformatics, biomedical informatics, Matthews correlation coefficient","C-7058-2017",68.0,27.0,14327.0
"MARCO","CREMASCHI","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0003-4139-1928","SciencesPo","TO CHECK","Full Professor",2015.0,"Semantic Web, Table interpretation, Semantic Annotations, Clinical Decision Support System","",166.0,11.0,342.0
"ALEX","GRAUDENZI","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0001-5452-1918","Università degli Studi di Milano-Bicocca","APPROVED","Tenure Track Researcher ",2022.0,"Data Science, AI, Bioinformatics, Cancer Evolution, Complex Systems","",86.0,22.0,1770.0
"DAVIDE","MARELLI","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0003-2389-0301","University of Milano-Bicocca","APPROVED","Postdoctoral Research Fellow","","Computer Vision, Computer Graphics, Machine Learning","",10.0,8.0,308.0
"SIMONE","MELZI","(IINF-05/A)","Information Processing Systems","Fixed-term Researcher","0000-0003-2790-9591","","TO CHECK","","","geometry processing, shape analysis, shape matching","",0.0,25.0,6491.0
"FRIDA","MILELLA","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0002-0522-2804","University of Milano-Bicocca","APPROVED","Assistant Professor (RTDa)",2023.0,"Artificial intelligence, ageing, health services, decision support, interaction design","",9.0,4.0,125.0
"DANIELE MARIA","PAPETTI","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0002-3574-6027","Università degli Studi di Milano-Bicocca","APPROVED","Post-doctoral researcher","","Machine Learning, Artificial Intelligence, Particle Swarm Optimization, Evolutionary Algorithm","",10.0,5.0,62.0
"GEORGIOS","PEIKOS","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0002-2862-8209","Universita' di Milano Bicocca","APPROVED","Ricercatori a tempo determinato",2024.0,"Information Retrieval, Natural Language Processing, Health Informatics","",11.0,5.0,62.0
"FLAVIO","PICCOLI","(INFO-01/A)","Computer Science","Fixed-term Researcher","0009-0007-0604-7677","","TO CHECK","","","Industrial Quality Inspection, Image Enhancement, Speaker Recognition, Earth Observation","",1.0,11.0,679.0
"ALESSANDRO","RAGANATO","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0002-7018-7515","University of Milano-Bicocca","APPROVED","tenure-track Assistant Professor",2022.0,"Natural Language Processing, Computational Linguistics, Word Sense Disambiguation, Machine Translation, Lexical Semantics","",36.0,17.0,2883.0
"MARCO","SAVI","(IINF-05/A)","Information Processing Systems","Fixed-term Researcher","0000-0002-8193-0597","University of Milano-Bicocca","APPROVED","Assistant Professor",2020.0,"Software-Defined Networking, Network Function Virtualization, Edge Computing, Network Monitoring, Programmable Data Planes","",43.0,19.0,1276.0
"BLERINA","SPAHIU","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0002-6958-8215","Universita degli Studi di Milano-Bicocca","APPROVED","Borsa di ricerca",2017.0,"Knowledge Graph Profiling, KG Integration, Semantic Annotation","",16.0,9.0,412.0
"IONEL EDUARD","STAN","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0001-9260-102X","University of Milano-Bicocca","APPROVED","Assistant Professor",2024.0,"Modal Logic, XAI","LCE-8649-2024",14.0,9.0,218.0
"SIMONE","ZINI","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0002-8505-1581","University of Milano-Bicocca","APPROVED","Assistant Professor",2024.0,"Computational Photography, Machine Learning, Computer vision, Image Restoration, Image Enhancement","",15.0,7.0,258.0
"FRANCESCO","ARCHETTI","","SSD not available","Fixed-term Researcher","0000-0003-1131-3830","","TO CHECK","","","data analytics, computer science, machine learning, network analytics","",0.0,27.0,2929.0
"GIULIA ROSEMARY","AVIS","(INF/01)","Computer Science","Professor Emeritus","0009-0008-7301-6982","University of Milano-Bicocca","APPROVED","","","Nessuna","",0.0,"",""
"MIRKO PAOLO","BARBATO","(INF/01)","Computer Science","Research Fellow","0000-0002-3967-8957","","TO CHECK","","","Computer vision, Remote sensing","",7.0,3.0,41.0
"FEDERICO","BELOTTI","(INF/01)","Computer Science","Research Fellow","0009-0008-0140-3318","University of Milano-Bicocca","APPROVED","Research Fellow",2024.0,"NLP, Semantic Table Interpretation, Interpretability","",0.0,2.0,18.0
"RAMDHANE FIRAS","BEN","(INF/01)","Computer Science","Research Fellow","0000-0002-3607-3231","Université Libre de Tunis","TO CHECK","Teacher",2017.0,"Nessuna","",5.0,"",""
"FEDERICO","BERGAMINI","(ING-INF/05)","Information Processing Systems","Research Fellow","","","TO CHECK","","","","","","",""
"STEFANIA","BOFFA","(INF/01)","Computer Science","Research Fellow","0000-0002-4171-3459","University of Ostrava","TO CHECK","Postdoctoral researcher",2019.0,"","",17.0,7.0,141.0
"LUCA","CELOTTI","(INF/01)","Computer Science","Research Fellow","0000-0003-2460-8099","","TO CHECK","","","Nessuna","",0.0,"",""
"MATTEO ROBERT","CHILD","(INF/01)","Computer Science","Research Fellow","","","TO CHECK","","","","","","",""
"XIAOCHEN","CHOU","(INF/01)","Computer Science","Research Fellow","0000-0003-1491-9336","University of Milano-Bicocca","APPROVED","Postdoctoral Researcher",2022.0,"Operations Research, Machine Learning","",20.0,7.0,163.0
"SIMONE","CICCOLELLA","(INF/01)","Computer Science","Research Fellow","0000-0002-6469-4887","Università degli Studi di Milano-Bicocca","APPROVED","PostDoc",2022.0,"","",10.0,10.0,291.0
"ROBERTO","CROTTI","(INF/01)","Computer Science","Research Fellow","0000-0003-3009-1874","","TO CHECK","","","Nessuna","",0.0,"",""
