Role,Family_Name,Given_Name,Department_Code,Specific_Field
Fixed-Term Researcher,CREMASCHI,MARCO,INFO-01/A,Computer Science
Fixed-Term Researcher,GRAUDENZI,ALEX,INFO-01/A,Computer Science
Fixed-Term Researcher,MARELLI,DAVIDE,INFO-01/A,Computer Science
Fixed-Term Researcher,MELZI,SIMONE,IINF-05/A,Information Processing Systems
Fixed-Term Researcher,MILELLA,FRIDA,INFO-01/A,Computer Science
Fixed-Term Researcher,PAPETTI,DANIELE MARIA,INFO-01/A,Computer Science
Fixed-Term Researcher,PEIKOS,GEORGIOS,INFO-01/A,Computer Science
Fixed-Term Researcher,PICCOLI,FLAVIO,INFO-01/A,Computer Science
Fixed-Term Researcher,RAGANATO,ALESSANDRO,INFO-01/A,Computer Science
Fixed-Term Researcher,SAVI,MARCO,IINF-05/A,Information Processing Systems
Fixed-Term Researcher,SPAHIU,BLERINA,INFO-01/A,Computer Science
Fixed-Term Researcher,STAN,IONEL EDUARD,INFO-01/A,Computer Science
Fixed-Term Researcher,ZINI,SIMONE,INFO-01/A,Computer Science
Fixed-Term Researcher,ARCHETTI,FRANCESCO ANTONIO,,SSD not available
Professor Emeritus,AVIS,GIULIA ROSEMARY,INF/01,Computer Science
Research Fellow,BARBATO,MIRKO PAOLO,INF/01,Computer Science
Research Fellow,BELOTTI,FEDERICO,INF/01,Computer Science
Research Fellow,BEN,RAMDHANE FIRAS,INF/01,Computer Science
Research Fellow,BERGAMINI,FEDERICO,ING-INF/05,Information Processing Systems
Research Fellow,CELOTTI,LUCA,INF/01,Computer Science
Research Fellow,CHILD,MATTEO ROBERT,INF/01,Computer Science
Research Fellow,CHOU,XIAOCHEN,INF/01,Computer Science
Research Fellow,CICCOLELLA,SIMONE,INF/01,Computer Science
Research Fellow,CROTTI,ROBERTO,INF/01,Computer Science
Research Fellow,DELFINI,LORENZO,INF/01,Computer Science
Research Fellow,ELIA,MANUEL,INF/01,Computer Science
Research Fellow,FILIPPINI,FEDERICA,INF/01,Computer Science
Research Fellow,GAO,YOUNAN,INF/01,Computer Science
Research Fellow,GARRONE,ROBERTO,INF/01,Computer Science
Research Fellow,GHERARDI,ALESSANDRO,INF/01,Computer Science
Research Fellow,GROSSI,ALESSANDRA,INF/01,Computer Science
Research Fellow,GUGLIELMO,LUCA,INF/01,Computer Science
Research Fellow,KASELA,PRANAV,INF/01,Computer Science
Research Fellow,KURIAN,ELSON,INF/01,Computer Science
Research Fellow,LONGARI,GIORGIO,ING-INF/05,Information Processing Systems
Research Fellow,MAGGIOLI,FILIPPO,ING-INF/05,Information Processing Systems
Research Fellow,MALTAGLIATI,JACOPO,INF/01,Computer Science
Research Fellow,MARCONI,LUCA,INF/01,Computer Science
Research Fellow,MARIANI,GIORGIO,INF/01,Computer Science
Research Fellow,MENARA,GIULIAMARIA,INF/01,Computer Science
Research Fellow,MILANESE,GIAN CARLO,INF/01,Computer Science
Research Fellow,MODHA,SANDIP JAYANTLIAL,INF/01,Computer Science
Research Fellow,NOCCO,SARA,INF/01,Computer Science
Research Fellow,ROSSI,MARIA TERESA,ING-INF/05,Information Processing Systems
Research Fellow,ROTA,CLAUDIO,INF/01,Computer Science
Research Fellow,SAIBENE,AURORA,INF/01,Computer Science
Research Fellow,SEYEDI,SEYEDIMAN,MAT/09,Operations Research
Research Fellow,SOKLI,EFFROSYNI,INF/01,Computer Science
Research Fellow,SU,EZGI IRAZ,INF/01,Computer Science
Research Fellow,VICENTE,HOLGADO LUCIA,INF/01,Computer Science
Research Fellow,ZHAO,AN QI,INF/01,Computer Science
Research Fellow,ALI,QURBAN,,SSD not available
