"Given Name","Family Name","Department Code","Specific Field","Role"
"FEDERICA","FILIPPINI","(INF/01)","Computer Science","Research Fellow"
"YOUNAN","GAO","(INF/01)","Computer Science","Research Fellow"
"ROBERTO","GARRONE","(INF/01)","Computer Science","Research Fellow"
"ALESSANDRO","GHERARDI","(INF/01)","Computer Science","Research Fellow"
"ALESSANDRA","GROSSI","(INF/01)","Computer Science","Research Fellow"
"LUCA","GUGLIELMO","(INF/01)","Computer Science","Research Fellow"
"PRANAV","KASELA","(INF/01)","Computer Science","Research Fellow"
"ELSON","KURIAN","(INF/01)","Computer Science","Research Fellow"
"GIORGIO","LONGARI","(ING-INF/05)","Information Processing Systems","Research Fellow"
"FILIPPO","MAGGIOLI","(ING-INF/05)","Information Processing Systems","Research Fellow"
"JACOPO","MALTAGLIATI","(INF/01)","Computer Science","Research Fellow"
"LUCA","MARCONI","(INF/01)","Computer Science","Research Fellow"
"GIORGIO","MARIANI","(INF/01)","Computer Science","Research Fellow"
"GIULIAMARIA","MENARA","(INF/01)","Computer Science","Research Fellow"
"GIAN CARLO","MILANESE","(INF/01)","Computer Science","Research Fellow"
"SANDIP JAYANTLIAL","MODHA","(INF/01)","Computer Science","Research Fellow"
"SARA","NOCCO","(INF/01)","Computer Science","Research Fellow"
"MARIA TERESA","ROSSI","(ING-INF/05)","Information Processing Systems","Research Fellow"
"AURORA","SAIBENE","(INF/01)","Computer Science","Research Fellow"
"SEYEDIMAN","SEYEDI","(MAT/09)","Operations Research","Research Fellow"
"EFFROSYNI","SOKLI","(INF/01)","Computer Science","Research Fellow"
"HOLGADO LUCIA","VICENTE","(INF/01)","Computer Science","Research Fellow"
"AN QI","ZHAO","(INF/01)","Computer Science","Research Fellow"
"QURBAN","ALI","","SSD not available","Research Fellow"
"ABUBAKARI","ALIDU","","SSD not available","PhD Student"
"HAMZA","AMRANI","","SSD not available","PhD Student"
"GIANMARIA","BALDUCCI","","SSD not available","PhD Student"
"THOMAS","BARBERA","","SSD not available","PhD Student"
"FRANCESCO","CANONACO","","SSD not available","PhD Student"
"MICHELE","CARBONERA","","SSD not available","PhD Student"
"VASCO","COELHO","","SSD not available","PhD Student"
"LUCA","COGO","","SSD not available","PhD Student"
