,Given Name,Family Name,Department Code,Specific Field,Role,ORCID ID,Organization,Keywords,H Index,Citations,Past Institutions
17,MICHELE,CIAVOTTA,(INFO-01/A),Computer Science,Associate Professor,0000-0002-2480-966X,University of Milan Bicocca,"Cloud Computing, Optimization, Big Data, Graph Neural Networks",19.0,1771.0,"['Stavros Niarchos Foundation', 'University of Oslo', 'University of Minnesota', 'University of Melbourne', 'Politecnico di Milano', 'University of Applied Sciences and Arts of Southern Switzerland', 'Informa (United Kingdom)', 'Karlsruhe Institute of Technology', 'Microelectronica (Romania)']"
18,GIANLUIGI,CIOCCA,(INFO-01/A),Computer Science,Associate Professor,0000-0003-2878-2131,University of Milan Bicocca,"Computer Vision, Image Understanding, Pattern Recognition, Video Analysis, Machine Learning",31.0,4588.0,"['University of Milan', 'National Research Council', ""Confederazione Nazionale dell'Artigianato e Della Piccola e Media Impresa"", 'Istituto di Matematica Applicata e Tecnologie Informatiche', 'Consorzio Roma Ricerche']"
19,FLAVIO,DE PAOLI,(INFO-01/A),Computer Science,Associate Professor,0000-0002-5047-7371,University of Milan Bicocca,,23.0,1573.0,"['BOKU University', 'University of Padua', 'University of Milan', 'Sulzer (Switzerland)', 'Politecnico di Milano', 'Cefriel', 'Hewlett-Packard (United States)', 'University of California System']"
20,GIANLUCA,DELLA VEDOVA,(INFO-01/A),Computer Science,Associate Professor,0000-0001-5584-3089,University of Milan Bicocca,"Algorithms, Bioinformatics, Computational Biology, Algorithms for Bioinformatics, Data Privacy",22.0,2106.0,"['National Institute of Statistics', 'University of Milan']"
21,GIOVANNI,DENARO,(INFO-01/A),Computer Science,Associate Professor,0000-0001-7251-1510,University of Milan Bicocca,Software Testing - Software Analysis - Software Engineering,25.0,1868.0,
22,ALBERTO,DENNUNZIO,(INFO-01/A),Computer Science,Associate Professor,0000-0003-1420-404X,University of Milan Bicocca,cellular automata,22.0,1221.0,"['University of Milan', ""Université Côte d'Azur"", ""Laboratoire d'Informatique, Signaux et Systèmes de Sophia Antipolis""]"
23,CLAUDIO,FERRETTI,(INFO-01/A),Computer Science,Associate Professor,0000-0002-5562-7893,University of Milan Bicocca,"computational models, computer security, open source software",15.0,1286.0,
24,ELISABETTA,FERSINI,(INFO-01/A),Computer Science,Associate Professor,0000-0002-8987-100X,University of Milan Bicocca,"Natural Language Processing, Machine Learning",29.0,4648.0,"['University of Antwerp', 'Ludwig-Maximilians-Universität München', 'University of Sheffield', 'University of Chicago', 'Universitat Politècnica de València', 'University of Turin', 'University of Milan']"
25,FRANCESCA,GASPARINI,(INFO-01/A),Computer Science,Associate Professor,0000-0002-6279-6660,University of Milan Bicocca,"multimedia signal processing, affective computing, brain computer interfaces",26.0,2647.0,"['Signal Processing (United States)', 'University of Florence', 'University of Ferrara', 'University of Bergamo', 'University of Verona', 'University of Milan', 'Construction Technologies Institute', 'Università Cattolica del Sacro Cuore', 'Inserm']"
26,ALBERTO,LEPORATI,(INFO-01/A),Computer Science,Associate Professor,0000-0002-8105-4371,University of Milan Bicocca,Natural Computing - Unconventional Computing - Membrane Computing - Theoretical Computer Science,29.0,2518.0,['University of Milan']
27,GUGLIELMO,LULLI,(MATH-06/A),Operations Research,Associate Professor,0000-0001-5600-0331,University of Milan Bicocca,"Operations Research, Deterministic and Stochastic Optimization, Transportation and Logistics",21.0,2059.0,"['Alenia Aermacchi', 'Space (Italy)', 'Thales (Italy)', 'University of Milan', 'Sapienza University of Rome', 'University of Padua', 'University of Arizona']"
28,SARA LUCIA,MANZONI,(INFO-01/A),Computer Science,Associate Professor,0000-0002-6406-536X,University of Milan Bicocca,Computer Science,19.0,1758.0,
29,DANIELA,MICUCCI,(IINF-05/A),Information Processing Systems,Associate Professor,0000-0003-1261-2234,University of Milan Bicocca,"software architecture, self-repair, self-healing, pervasive healthcare, mobile development",15.0,2084.0,['University of Milan']
30,PAOLO,NAPOLETANO,(INFO-01/A),Computer Science,Associate Professor,0000-0001-9112-0574,University of Milan Bicocca,"Intelligent Sensors, Computer Vision, Pattern Recognition, Deep Learning, Artificial Intelligence",35.0,5704.0,"['Istituto Nazionale di Fisica Nucleare, Sezione di Milano Bicocca', 'University of Milan', 'University of Salerno', 'Sapienza University of Rome', 'Centro di Ricerca in Matematica Pura ed Applicata']"
31,MATTEO,PALMONARI,(INFO-01/A),Computer Science,Associate Professor,0000-0002-1801-5118,University of Milan Bicocca,"Artificial Intelligence, Semantic Web, Data Integration",25.0,2483.0,"['Universität Innsbruck', 'Tekniker', 'Università Cattolica del Sacro Cuore', 'University of Milan', 'University of Illinois at Chicago']"
32,NYSSEN,PENALOZA,(INFO-01/A),Computer Science,Associate Professor,,University of Milan Bicocca,,,,
33,YURI,PIROLA,(INFO-01/A),Computer Science,Associate Professor,0000-0002-8479-7592,University of Milan Bicocca,"Algorithms, Computer Science, Bioinformatics, Computational Biology",16.0,1818.0,['University of Milan']
34,LUCIA,POMELLO,(INFO-01/A),Computer Science,Associate Professor,0000-0001-5651-915X,University of Milan Bicocca,"Formal Methods, Concurrency, Petri Nets",16.0,1401.0,"['University of Milano-Bicocca', 'University of Milan', 'Leiden University', 'Cornell University', 'Gestione Sistemi per l’Informatica (Italy)']"
35,CLAUDIA,RAIBULET,(IINF-05/A),Information Processing Systems,Associate Professor,0000-0002-7194-3159,University of Milan Bicocca,Nessuna,,,"['University of Milano-Bicocca', 'Los Alamitos Medical Center', 'University of Kansas', 'Kiel University', 'George Washington University', 'Cardiff University', 'Arizona State University', 'California State Polytechnic University', 'Lancaster University']"
36,OLIVIERO,RIGANELLI,(IINF-05/A),Information Processing Systems,Associate Professor,0000-0003-2120-2894,University of Milan Bicocca,"Software Testing, Software Analysis, Software Engineering",15.0,856.0,"['University of Milan', 'Università di Camerino', 'Stony Brook University', 'Istituto di Matematica Applicata e Tecnologie Informatiche']"
37,RAFFAELLA,RIZZI,(INFO-01/A),Computer Science,Associate Professor,0000-0001-9730-7516,University of Milan Bicocca,"bioinformatica, analisi di sequenze biologiche, predizione della struttura genica",15.0,730.0,"['University of Milano-Bicocca', 'Etna Biotech (Italy)', 'University of Bologna', 'University of Bari Aldo Moro', 'University of Milan', 'University of Geneva']"
38,FABIO,SARTORI,(INFO-01/A),Computer Science,Associate Professor,0000-0002-5038-9785,University of Milan Bicocca,Artificial Intelligence,14.0,660.0,"['University of Trento', 'California Department of Pesticide Regulation', 'California Environmental Protection Agency', 'University of Milan', 'University of Vassouras', 'Texas A&M University', 'Intelligent Systems Research (United States)', 'Disco (Germany)', 'University of Georgia']"
39,DOMENICO G.,SORRENTI,(IINF-05/A),Information Processing Systems,Associate Professor,0000-0002-4734-7330,University of Milan Bicocca,"Autonomous Driving, Machine Perception, Robot Vision, Computer Vision, Robotics",20.0,1538.0,"['Istituto Nazionale di Fisica Nucleare, Sezione di Milano Bicocca', 'University of Milan', 'University of Pisa', 'Politecnico di Milano', 'Sapienza University of Rome', 'Parallel Consulting (United States)']"
40,FABIO ANTONIO,STELLA,(MATH-06/A),Operations Research,Associate Professor,0000-0002-1394-0507,University of Milan Bicocca,"Data Science, Artificial Intelligence, Machine Learning, Bayesian networks, Causal networks",21.0,2119.0,
41,MARCO,VIVIANI,(INFO-01/A),Computer Science,Associate Professor,0000-0002-2274-9050,University of Milan Bicocca,"Social Computing, Natural Language Processing, Information Retrieval, Misinformation, Privacy",24.0,1829.0,"['IT University of Copenhagen', 'Tokyo Institute of Technology', 'Administration for Community Living', 'Pew Research Center', 'American Jewish Committee', 'University of Milan', 'John Wiley & Sons (United States)', 'Intelligent Systems Research (United States)', 'University of Insubria']"
42,GIUSEPPE,VIZZARI,(INFO-01/A),Computer Science,Associate Professor,0000-0002-7916-6438,University of Milan Bicocca,"Artificial Intelligence, Multi-Agent Systems, pedestrian simulation, crowd simulation",34.0,3864.0,"['University of Milan', 'Centre for Artificial Intelligence and Robotics', 'Intelligent Systems Research (United States)']"
43,CLAUDIO,ZANDRON,(INFO-01/A),Computer Science,Associate Professor,0000-0002-2163-7639,University of Milan Bicocca,"Natural Computing, Membrane Computing, Theoretical Computer Science",27.0,4799.0,['University of Milan']
44,ITALO,ZOPPIS,(INFO-01/A),Computer Science,Associate Professor,0000-0001-7312-7123,University of Milan Bicocca,,18.0,1080.0,"['University of Milan', 'Precision Research Institute']"
45,LUCA,BERNARDINELLO,(INFO-01/A),Computer Science,Associate Professor,0000-0002-0639-7593,University of Milan Bicocca,,14.0,1342.0,"['University of Milano-Bicocca', 'University of Milan', 'Hamilton Health Sciences', 'Institut de Recherche en Informatique et Systèmes Aléatoires', 'Générale-Beaulieu Clinic', 'Utrecht University', 'Roche (France)', 'Centre National de la Recherche Scientifique', ""Laboratoire d'Analyse et d'Architecture des Systèmes"", 'Cornell University']"
