,Given Name,Family Name,Department Code,Specific Field,Role,ORCID ID,Organization,Keywords,H Index,Citations,Past Institutions
96,MARIA TERESA,ROSSI,(ING-INF/05),Information Processing Systems,Research Fellow,0000-0003-0273-7324,University of Milan Bicocca,,3.0,59.0,"['Gran Sasso Science Institute', ""Consorzio Interuniversitario Nazionale per l'Informatica"", 'University of Pisa', 'Azienda Ospedaliera Universitaria Pisana', 'Sapienza University of Rome', 'Lindenhofspital']"
97,AURORA,SAIBENE,(INF/01),Computer Science,Research Fellow,0000-0002-4405-8234,University of Milan Bicocca,"BCI, EEG, Neuroinformatics",9.0,408.0,[]
98,SEYEDIMAN,SEYEDI,(MAT/09),Operations Research,Research Fellow,,University of Milan Bicocca,,,,
99,EFFROSYNI,SOKLI,(INF/01),Computer Science,Research Fellow,0009-0003-5388-2385,University of Milan Bicocca,"Information Retrieval, Natural Language Processing, Representation Learning",0.0,,
100,HOLGADO LUCIA,VICENTE,(INF/01),Computer Science,Research Fellow,0000-0002-6733-6567,University of Milan Bicocca,Nessuna,,,
101,AN QI,ZHAO,(INF/01),Computer Science,Research Fellow,0009-0009-3390-7024,University of Milan Bicocca,Nessuna,,,
102,QURBAN,ALI,,SSD not available,Research Fellow,0009-0003-0087-9270,University of Milan Bicocca,"Autonomous Driving Systems (ADS), Software Testing, Machine Learning, Cyber Physical Systems (CPS)",,,
103,ABUBAKARI,ALIDU,,SSD not available,PhD Student,0009-0000-9251-919X,University of Milan Bicocca,"Machine learning, Natural Language Processing (NLP), Knowledge and Analytics Engineering",3.0,79.0,
104,HAMZA,AMRANI,,SSD not available,PhD Student,0000-0002-7081-6051,University of Milan Bicocca,"Deep Learning, Representation Learning, Signal Processing",2.0,28.0,"['Constantine 1 University', 'Université Constantine 2', 'Université Claude Bernard Lyon 1', 'Laboratoire Hubert Curien', 'Centre National de la Recherche Scientifique', 'Texas Instruments (United States)', 'École Centrale Paris']"
105,GIANMARIA,BALDUCCI,,SSD not available,PhD Student,0000-0003-3607-0951,University of Milan Bicocca,NLP,1.0,1.0,
106,THOMAS,BARBERA,,SSD not available,PhD Student,0009-0001-5684-1867,University of Milan Bicocca,"EEG Processing, Deep Learning, Digital Signal Processing, Neuroinformatics, AI-Assisted Healthcare",,,
107,FRANCESCO,CANONACO,,SSD not available,PhD Student,0009-0006-5554-8665,University of Milan Bicocca,Nessuna,,,
108,MICHELE,CARBONERA,,SSD not available,PhD Student,0009-0000-3537-1977,University of Milan Bicocca,,1.0,1.0,
109,VASCO,COELHO,,SSD not available,PhD Student,0009-0007-5742-0929,University of Milan Bicocca,Global optimization,2.0,11.0,
110,LUCA,COGO,,SSD not available,PhD Student,0009-0001-0056-053X,University of Milan Bicocca,Nessuna,,,
111,DAVIDE,COZZI,,SSD not available,PhD Student,0000-0003-2439-0608,University of Milan Bicocca,,27.0,2226.0,[]
112,SALVATORE,D'ANTONA,,SSD not available,PhD Student,0000-0002-1283-8789,University of Milan Bicocca,Nessuna,,,"['National Academies of Sciences, Engineering, and Medicine', 'University of Rome Tor Vergata']"
113,FEDERICA,DI LAURO,,SSD not available,PhD Student,0000-0001-6327-5931,University of Milan Bicocca,"Robotics, Point Cloud",1.0,10.0,[]
114,FEDERICO,DI MARCO,,SSD not available,PhD Student,0000-0003-0376-1342,University of Milan Bicocca,Nessuna,,,"['European Space Research and Technology Centre', 'San Raffaele University of Rome']"
115,CATERINA,FREGOSI,,SSD not available,PhD Student,0009-0004-7626-8131,University of Milan Bicocca,"Human AI Interaction, eXplainable AI, Decision Support System",1.0,2.0,
116,GIOVANNI DONATO,GALLO,,SSD not available,PhD Student,0009-0009-2413-5149,University of Milan Bicocca,,0.0,,
117,MATTEO,GARAVAGLIA,,SSD not available,PhD Student,0009-0006-7451-3986,University of Milan Bicocca,Nessuna,,,
118,MARCO,LOCATELLI,,SSD not available,PhD Student,0000-0003-0778-3653,University of Milan Bicocca,Nessuna,,,"['Ospedale Humanitas Gradenigo', 'Vita-Salute San Raffaele University', 'Jazz Pharmaceuticals (Italy)', 'University of Milano-Bicocca', 'Ferrari (Italy)']"
119,FRANCESCA,MACCARONE,,SSD not available,PhD Student,0009-0004-6221-2671,University of Milan Bicocca,"Neuroimaging, MRI, Machine learning, Geometry processing",0.0,,
120,ATIEH,MAHROO,,SSD not available,PhD Student,0000-0002-2962-3661,University of Milan Bicocca,Nessuna,,,[]
121,FARIHA,MAQBOOL,,SSD not available,PhD Student,0009-0008-2587-9417,University of Milan Bicocca,"Machine Learning, Natural Language Processing, Computer Vision",2.0,7.0,['National University of Computer and Emerging Sciences']
122,MARIO,MARINO,,SSD not available,PhD Student,0000-0002-4686-7297,University of Milan Bicocca,Nessuna,,,
123,ALBERTO,MINORA,,SSD not available,PhD Student,,University of Milan Bicocca,,,,
124,FRANCESCO,MORANO,,SSD not available,PhD Student,0009-0008-4593-4778,University of Milan Bicocca,Nessuna,,,
125,CHIARA,NATALI,,SSD not available,PhD Student,0000-0002-5171-5239,University of Milan Bicocca,"Artificial Intelligence, Human-AI Interaction, Human-Computer Interaction, Explainable AI, CSCW",6.0,136.0,"['Vita-Salute San Raffaele University', 'University of Milan']"
126,MARCO,PIAZZA,,SSD not available,PhD Student,0000-0001-7105-2017,University of Milan Bicocca,,1.0,3.0,
127,FEDERICO,PIROLA,,SSD not available,PhD Student,,University of Milan Bicocca,,,,
128,RICCARDO,POZZI,,SSD not available,PhD Student,0000-0002-4954-3837,University of Milan Bicocca,"deep learning, natural language processing, knowledge representation, information extraction, knowledge base population",4.0,25.0,['University of Milano-Bicocca']
129,BRIAN,RICCARDI,,SSD not available,PhD Student,0000-0002-4925-9529,University of Milan Bicocca,,2.0,11.0,
130,GIORGIA,RIGAMONTI,,SSD not available,PhD Student,0009-0006-4253-1020,University of Milan Bicocca,Nessuna,,,
131,NICCOLÒ,ROCCHI,,SSD not available,PhD Student,0009-0000-9764-0036,University of Milan Bicocca,Nessuna,,,
132,LORENZO,ROVIDA,,SSD not available,PhD Student,0000-0001-5093-7932,University of Milan Bicocca,"Fully Homomorphic Encryption, Lattice-based Cryptography",3.0,20.0,[]
133,DANIEL,SCALENA,,SSD not available,PhD Student,0009-0006-0518-6504,University of Milan Bicocca,"Artificial Intelligence, Natural language processing, Interpretability",1.0,4.0,['University of Milano-Bicocca']
134,MATTIA,SGRO,,SSD not available,PhD Student,0009-0003-5838-5329,University of Milan Bicocca,"bioinformatics, datastructures",0.0,,
135,SAHAR,SHAH,,SSD not available,PhD Student,0000-0002-9943-935X,University of Milan Bicocca,Nessuna,,,"['Central South University', 'Quaid-i-Azam University', 'COMSATS University Islamabad']"
136,MOHAMED NASSER HASSAN,SWEILAM,,SSD not available,PhD Student,0009-0004-7796-0613,University of Milan Bicocca,Nessuna,,,
137,JACOPO,TALPINI,,SSD not available,PhD Student,0000-0003-1556-6296,University of Milan Bicocca,,2.0,10.0,
138,GIULIO,VIGANò,,SSD not available,PhD Student,0009-0000-7263-2160,University of Milan Bicocca,"Machine Learning, Geometry processing, Deep geometric learning",1.0,3.0,[]
