"Given Name","Family Name","Department Code","Specific Field","Role","ORCID ID","Organization","Status","Role Title","Start Date","Keywords","ResearcherID","Number of Works","H Index","Citations"
"GUGLIELMO","LULLI","(MATH-06/A)","Operations Research","Associate Professor","0000-0001-5600-0331","Lancaster University Management School","TO CHECK","Professor",2015.0,"Operations Research, Deterministic and Stochastic Optimization, Transportation and Logistics","",41.0,21,2059
"SARA LUCIA","MANZONI","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-6406-536X","Università degli Studi di Milano-Bicocca Scuola di Scienze","APPROVED","Assistant professor",2003.0,"Computer Science","",4.0,19,1758
"DANIELA","MICUCCI","(IINF-05/A)","Information Processing Systems","Associate Professor","0000-0003-1261-2234","","TO CHECK","","","software architecture, self-repair, self-healing, pervasive healthcare, mobile development","",64.0,15,2084
"PAOLO","NAPOLETANO","(INFO-01/A)","Computer Science","Associate Professor","0000-0001-9112-0574","","TO CHECK","","","Intelligent Sensors, Computer Vision, Pattern Recognition, Deep Learning, Artificial Intelligence","B-2186-2009",97.0,35,5704
"MATTEO LUIGI","PALMONARI","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-1801-5118","Università degli Studi di Milano-Bicocca","APPROVED","Associate Professor","","Nessuna","",73.0,"NA","NA"
"NYSSEN","PENALOZA","(INFO-01/A)","Computer Science","Associate Professor","","","TO CHECK","","","","","","NA","NA"
"YURI","PIROLA","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-8479-7592","Università degli Studi di Milano-Bicocca","APPROVED","Associate professor",2022.0,"Algorithms, Computer Science, Bioinformatics, Computational Biology","",46.0,16,1818
"LUCIA","POMELLO","(INFO-01/A)","Computer Science","Associate Professor","0000-0001-5651-915X","","TO CHECK","","","Formal Methods, Concurrency, Petri Nets","",7.0,16,1401
"CLAUDIA","RAIBULET","(IINF-05/A)","Information Processing Systems","Associate Professor","0000-0002-7194-3159","","TO CHECK","","","Nessuna","",77.0,"NA","NA"
"OLIVIERO","RIGANELLI","(IINF-05/A)","Information Processing Systems","Associate Professor","0000-0003-2120-2894","","TO CHECK","","","Software Testing, Software Analysis, Software Engineering","",43.0,856,15
"RAFFAELLA","RIZZI","(INFO-01/A)","Computer Science","Associate Professor","0000-0001-9730-7516","","TO CHECK","","","bioinformatica, analisi di sequenze biologiche, predizione della struttura genica","",33.0,15,730
"FABIO","SARTORI","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-5038-9785","University of Milano-Bicocca","APPROVED","Assistant Professo",2008.0,"Artificial Intelligence","",8.0,660,14
"DOMENICO G.","SORRENTI","(IINF-05/A)","Information Processing Systems","Associate Professor","0000-0002-4734-7330","Università degli Studi di Milano - Bicocca","APPROVED","assoc. prof.",2005.0,"Autonomous Driving, Machine Perception, Robot Vision, Computer Vision, Robotics","",0.0,20,1538
"FABIO ANTONIO","STELLA","(MATH-06/A)","Operations Research","Associate Professor","0000-0002-1394-0507","","TO CHECK","","","Data Science, Artificial Intelligence, Machine Learning, Bayesian networks, Causal networks","",46.0,21,2119
