;Institution;openalex_id;country;type;homepage_url;works_count;cited_by_count;corrected_university_name
42;ICIPE: International Centre of Insect Physiology and Ecology;https://openalex.org/I168685008;KE;facility;https://www.icipe.org;5211.0;134584.0;ICIPE: International Centre of Insect Physiology and Ecology
43;Teesside University;https://openalex.org/I874055015;GB;education;https://tees.ac.uk;10746.0;202615.0;Teesside University
44;Illumina (United States);https://openalex.org/I178645029;US;company;http://www.illumina.com/;2414.0;208873.0;Illumina (United States)
45;University of Neuchâtel;https://openalex.org/I57825437;CH;education;https://unine.ch;19791.0;495997.0;University of Neuchâtel
46;University of Genoa;https://openalex.org/I83816512;IT;education;https://unige.it;83833.0;2106605.0;University of Genoa
47;University of Siena;https://openalex.org/I102064193;IT;education;https://www.unisi.it;49913.0;1430949.0;University of Siena
48;Lahore University of Management Sciences;https://openalex.org/I207789805;PK;education;http://lums.edu.pk/index.php;5061.0;83249.0;Lahore University of Management Sciences
49;University of Ljubljana;https://openalex.org/I153976015;SI;education;http://www.uni-lj.si/;74979.0;1562245.0;University of Ljubljana
50;University of Vienna;https://openalex.org/I129774422;AT;education;https://www.univie.ac.at;138346.0;3789665.0;University of Vienna
51;University of Insubria;https://openalex.org/I115752224;IT;education;http://www.uninsubria.eu/;22815.0;613791.0;University of Insubria
52;University of Würzburg;https://openalex.org/I25974101;DE;education;http://www.uni-wuerzburg.de/en/ueber/university/;90861.0;3200863.0;University of Würzburg
